year,month,decade,avg_temperature
2023,4,1,7.952500000000001
2023,4,2,9.63125
2023,4,3,11.53
2023,5,1,7.51
2023,5,2,14.892500000000002
2023,5,3,15.50340909090909
2023,6,1,14.66125
2023,6,2,18.13125
2023,6,3,17.57375
2023,7,1,20.598750000000003
2023,7,2,16.51125
2023,7,3,18.282954545454547
2023,8,1,22.89125
2023,8,2,20.68625
2023,8,3,15.756818181818181
2023,9,1,15.47875
2023,9,2,13.513749999999998
2023,9,3,16.065
2023,10,1,8.56125
2023,10,2,6.91625
2023,10,3,1.3806818181818181
2023,11,1,7.545
2023,11,2,-0.04250000000000002
2023,11,3,-5.217499999999999
2023,12,1,-8.94125
2023,12,2,-4.6274999999999995
2023,12,3,-0.18522727272727274
2024,1,1,-17.697499999999998
2024,1,2,-9.557500000000001
2024,1,3,-3.7363636363636363
2024,2,1,-5.0975
2024,2,2,-6.9975
2024,2,3,-1.0569444444444445
2024,3,1,-1.8375
2024,3,2,1.385
2024,3,3,5.053409090909091
2024,4,1,10.32375
2024,4,2,9.52375
2024,4,3,12.72625
2024,5,1,6.975
2024,5,2,11.43625
2024,5,3,19.051136363636363
2024,6,1,20.00625
2024,6,2,19.986250000000002
2024,6,3,19.76625
2024,7,1,24.04
2024,7,2,23.09375
2024,7,3,19.501136363636363
2024,8,1,18.165
2024,8,2,18.05
2024,8,3,20.151136363636365
2024,9,1,18.411250000000003
2024,9,2,18.52
2024,9,3,14.47875
2024,10,1,10.6425
2024,10,2,5.8325000000000005
2024,10,3,6.754545454545454
2024,11,1,2.66375
2024,11,2,2.215
2024,11,3,0.1
2024,12,1,-1.7462499999999999
2024,12,2,-4.51
2024,12,3,-0.13295454545454544
2025,1,1,-0.945
2025,1,2,0.155
2025,1,3,1.1034090909090908
2025,2,1,-1.59
2025,2,2,-7.58375
2025,2,3,-5.3234375
2025,3,1,3.62375
2025,3,2,3.6325000000000003
2025,3,3,5.2102272727272725
2025,4,1,3.88
2025,4,2,11.465
2025,4,3,11.095
2025,5,1,7.7700000000000005
2025,5,2,11.025
2025,5,3,20.125
2025,6,1,19.57
2025,6,2,16.10625
2025,6,3,15.142500000000002
2025,7,1,20.4925
2025,7,2,22.60125
2025,7,3,21.81931818181818
2025,8,1,19.30875
2025,8,2,17.0775
2025,8,3,15.001136363636363
2025,9,1,16.06
2025,9,2,14.5525
2025,9,3,10.651250000000001
2025,10,1,9.78875
2025,10,2,6.0775
2025,10,3,6.613636363636363
2025,11,1,6.991249999999999
2025,11,2,2.57625
2025,11,3,1.94375
2025,12,1,1.6337499999999998
2025,12,2,-1.06625
2025,12,3,-3.784090909090909
2026,1,1,-5.96
2026,1,2,-6.720000000000001
2026,1,3,-11.523863636363636
2026,2,1,-13.99
2026,2,2,-7.622764227642277
2026,2,3,-3.2604278074866313
2026,3,1,0.5350649350649351
